date,total_dex_volume
2016-05-06,2929.0
2016-05-07,370.0
2016-05-08,706.0
2016-05-09,54.63
2016-05-10,1581.69
2016-05-11,40.19
2016-05-12,794.0
2016-05-13,114.0
2016-05-14,1493.0
2016-05-15,1452.0
2016-05-16,1378.0
2016-05-17,1640.0
2016-05-18,2476.0
2016-05-19,1557.0
2016-05-20,289.31
2016-05-21,992.0
2016-05-22,1555.56
2016-05-23,1416.0
2016-05-24,228.49
2016-05-25,2879.26
2016-05-26,3713.93
2016-05-27,1585.0
2016-05-28,2831.0
2016-05-29,1331.0
2016-05-30,411.04
2016-05-31,1145.0
2016-06-01,1210.0
2016-06-02,1163.0
2016-06-03,3722.0
2016-06-04,1921.0
2016-06-05,1968.43
2016-06-06,1021.16
2016-06-07,894.0
2016-06-08,1073.0
2016-06-09,1682.0
2016-06-10,1415.0
2016-06-11,1940.0
2016-06-12,1098.83
2016-06-13,1170.7
2016-06-14,309.0
2016-06-15,1989.47
2016-06-16,343.25
2016-06-17,1462.0
2016-06-18,2782.91
2016-06-19,0.81
2016-06-20,1616.07
2016-06-21,1689.0
2016-06-22,1983.18
2016-06-23,2531.0
2016-06-24,141.1
2016-06-25,2503.0
2016-06-26,607.0
2016-06-27,348.0
2016-06-28,823.35
2016-06-29,656.0
2016-06-30,522.33
2016-07-01,1277.09
2016-07-02,190.0
2016-07-03,2024.0
2016-07-04,1453.0
2016-07-05,705.0
2016-07-06,1131.5
2016-07-07,672.92
2016-07-08,277.14
2016-07-09,1106.0
2016-07-10,802.05
2016-07-11,735.63
2016-07-12,1585.0
2016-07-13,107.12
2016-07-14,1279.0
2016-07-15,1890.0
2016-07-16,2034.0
2016-07-17,2891.85
2016-07-18,697.0
2016-07-19,1130.0
2016-07-20,3155.0
2016-07-21,2019.0
2016-07-22,2641.0
2016-07-23,853.0
2016-07-24,1114.71
2016-07-25,641.0
2016-07-26,1038.0
2016-07-27,2154.0
2016-07-28,826.2
2016-07-29,213.0
2016-07-30,2923.0
2016-07-31,2493.0
2016-08-01,3290.69
2016-08-02,2588.0
2016-08-03,3670.0
2016-08-04,1127.61
2016-08-05,962.38
2016-08-06,1493.62
2016-08-07,1156.0
2016-08-08,4594.0
2016-08-09,3933.0
2016-08-10,4383.0
2016-08-11,17191.0
2016-08-12,4355.0
2016-08-13,3130.29
2016-08-14,3955.1
2016-08-15,5654.0
2016-08-16,7206.0
2016-08-17,10298.0
2016-08-18,6873.0
2016-08-19,2132.0
2016-08-20,4145.0
2016-08-21,6274.0
2016-08-22,11241.0
2016-08-23,7022.0
2016-08-24,1193.0
2016-08-25,2932.0
2016-08-26,7878.72
2016-08-27,4208.19
2016-08-28,19904.46
2016-08-29,8915.62
2016-08-30,7030.0
2016-08-31,6297.0
2016-09-01,11790.0
2016-09-02,7214.0
2016-09-03,9136.0
2016-09-04,3683.0
2016-09-05,5222.0
2016-09-06,4139.0
2016-09-07,2179.0
2016-09-08,4617.0
2016-09-09,5632.0
2016-09-10,4401.0
2016-09-11,1793.0
2016-09-12,3551.0
2016-09-13,3230.0
2016-09-14,2893.0
2016-09-15,5837.0
2016-09-16,2016.0
2016-09-17,5256.0
2016-09-18,1687.0
2016-09-19,2228.0
2016-09-20,2239.0
2016-09-21,2980.0
2016-09-22,1598.0
2016-09-23,4517.0
2016-09-24,3380.0
2016-09-25,984.0
2016-09-26,4495.0
2016-09-27,3773.0
2016-09-28,2915.0
2016-09-29,2858.0
2016-09-30,3251.0
2016-10-01,2546.0
2016-10-02,2297.0
2016-10-03,3185.0
2016-10-04,2375.0
2016-10-05,2375.0
2016-10-06,3890.0
2016-10-07,3665.0
2016-10-08,3383.0
2016-10-09,5547.0
2016-10-10,8586.0
2016-10-11,6367.0
2016-10-12,7803.0
2016-10-13,7208.0
2016-10-14,3361.0
2016-10-15,9332.0
2016-10-16,6942.0
2016-10-17,8046.0
2016-10-18,3472.0
2016-10-19,2826.0
2016-10-20,6999.0
2016-10-21,6132.0
2016-10-22,7927.0
2016-10-23,4656.0
2016-10-24,4432.0
2016-10-25,5449.0
2016-10-26,4119.0
2016-10-27,6026.0
2016-10-28,3477.0
2016-10-29,5520.0
2016-10-30,2608.0
2016-10-31,5948.0
2016-11-01,6381.0
2016-11-02,6738.0
2016-11-03,5351.0
2016-11-04,5787.0
2016-11-05,2075.0
2016-11-06,2994.0
2016-11-07,12285.0
2016-11-08,6087.0
2016-11-09,3928.0
2016-11-10,3155.0
2016-11-11,9612.0
2016-11-12,3959.0
2016-11-13,4177.0
2016-11-14,2744.0
2016-11-15,4422.0
2016-11-16,2941.0
2016-11-17,6069.0
2016-11-18,5451.0
2016-11-19,6744.0
2016-11-20,4602.0
2016-11-21,3865.25
2016-11-22,4903.93
2016-11-23,3827.0
2016-11-24,2735.0
2016-11-25,1800.06
2016-11-26,3766.0
2016-11-27,5926.34
2016-11-28,4299.0
2016-11-29,4120.6
2016-11-30,7049.0
2016-12-01,5878.0
2016-12-02,6266.0
2016-12-03,5563.0
2016-12-04,4314.0
2016-12-05,4804.89
2016-12-06,3274.0
2016-12-07,5191.0
2016-12-08,4897.36
2016-12-09,7251.0
2016-12-10,4914.0
2016-12-11,4038.0
2016-12-12,5889.0
2016-12-13,4582.18
2016-12-14,5126.0
2016-12-15,4563.0
2016-12-16,4642.0
2016-12-17,6211.0
2016-12-18,3342.0
2016-12-19,6899.0
2016-12-20,4510.0
2016-12-21,5141.0
2016-12-22,8824.56
2016-12-23,7712.0
2016-12-24,4940.0
2016-12-25,1620.7
2016-12-26,799.44
2016-12-27,9231.0
2016-12-28,10367.03
2016-12-29,2509.0
2016-12-30,3355.14
2016-12-31,3523.0
2017-01-01,5102.0
2017-01-02,9057.0
2017-01-03,11199.0
2017-01-04,18111.0
2017-01-05,11548.0
2017-01-06,15518.0
2017-01-07,9022.0
2017-01-08,6666.0
2017-01-09,7462.0
2017-01-10,6740.38
2017-01-11,11028.0
2017-01-12,7515.0
2017-01-13,11351.0
2017-01-14,8596.0
2017-01-15,12040.0
2017-01-16,14581.0
2017-01-17,13591.0
