evaluation_scope,asset,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
by_asset,ETH,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.1331661785649345,0.6870485678704856,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.17073170731707318,0.4,8.004878048780489,14,35
by_asset,ETH,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.1331661785649345,0.6870485678704856,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.09146341463414634,0.42857142857142855,4.288327526132404,15,35
by_asset,ETH,weak_label_3d,lf_vote_count,1641,35,0.021328458257160267,0.1331661785649345,0.6870485678704856,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.06402439024390244,0.6,3.001829268292683,21,35
by_asset,SOL,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.07575931276421366,0.7664193520063218,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.1875,0.21428571428571427,21.977678571428573,3,14
by_asset,SOL,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.07575931276421366,0.7664193520063218,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.04878048780487805,0.2857142857142857,5.7177700348432055,4,14
by_asset,SOL,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.07575931276421366,0.7664193520063218,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.042682926829268296,0.5,5.003048780487806,7,14
by_asset,SOL,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.07575931276421366,0.7664193520063218,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.042682926829268296,1.0,5.003048780487806,14,14
by_asset,USDC,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.25300460801517033,0.7470805162876459,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.25,0.2857142857142857,29.30357142857143,4,14
by_asset,USDC,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.25300460801517033,0.7470805162876459,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.0975609756097561,0.5714285714285714,11.435540069686411,8,14
by_asset,USDC,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.25300460801517033,0.7470805162876459,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.04878048780487805,0.5714285714285714,5.7177700348432055,8,14
by_asset,USDC,weak_label_3d,lf_vote_count,1641,14,0.008531383302864107,0.25300460801517033,0.7470805162876459,Asset-level weak-supervision evaluation is descriptive only.,0.2,328,0.024390243902439025,0.5714285714285714,2.8588850174216027,8,14
by_asset,USDT,weak_label_3d,lf_vote_count,3282,28,0.008531383302864107,0.26662211553118476,0.7882386513302309,Asset-level weak-supervision evaluation is descriptive only.,0.01,33,0.30303030303030304,0.35714285714285715,35.519480519480524,10,28
by_asset,USDT,weak_label_3d,lf_vote_count,3282,28,0.008531383302864107,0.26662211553118476,0.7882386513302309,Asset-level weak-supervision evaluation is descriptive only.,0.05,164,0.10975609756097561,0.6428571428571429,12.864982578397212,18,28
by_asset,USDT,weak_label_3d,lf_vote_count,3282,28,0.008531383302864107,0.26662211553118476,0.7882386513302309,Asset-level weak-supervision evaluation is descriptive only.,0.1,328,0.054878048780487805,0.6428571428571429,6.432491289198606,18,28
by_asset,USDT,weak_label_3d,lf_vote_count,3282,28,0.008531383302864107,0.26662211553118476,0.7882386513302309,Asset-level weak-supervision evaluation is descriptive only.,0.2,656,0.027439024390243903,0.6428571428571429,3.216245644599303,18,28
all_assets,ALL,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.01,115,0.20869565217391303,0.17142857142857143,17.123478260869565,24,140
all_assets,ALL,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.05,574,0.08885017421602788,0.36428571428571427,7.290156794425087,51,140
all_assets,ALL,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.1,1149,0.05918189730200174,0.4857142857142857,4.855874673629243,68,140
all_assets,ALL,weak_label_3d,transparent_risk_score,11487,140,0.01218769043266301,0.12937731208158482,0.7511928892470006,"Weak-supervision model is evaluated against event-window weak labels, not verified fraud ground truth.",0.2,2297,0.036134087940792335,0.5928571428571429,2.964801915542011,83,140
by_asset,BNB,weak_label_3d,transparent_risk_score,1641,14,0.008531383302864107,0.08824875500814965,0.7571779787514269,Asset-level weak-supervision evaluation is descriptive only.,0.01,16,0.1875,0.21428571428571427,21.977678571428573,3,14
by_asset,BNB,weak_label_3d,transparent_risk_score,1641,14,0.008531383302864107,0.08824875500814965,0.7571779787514269,Asset-level weak-supervision evaluation is descriptive only.,0.05,82,0.06097560975609756,0.35714285714285715,7.147212543554007,5,14
by_asset,BNB,weak_label_3d,transparent_risk_score,1641,14,0.008531383302864107,0.08824875500814965,0.7571779787514269,Asset-level weak-supervision evaluation is descriptive only.,0.1,164,0.042682926829268296,0.5,5.003048780487806,7,14
