date,asset,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,claim_boundary
2022-05-09,ETH,99.40802646469923,1,1,E001,stablecoin_depeg,high,-0.1143532145756758,0.0516705292626417,2.542621634148683,3.2032949933108577,-0.300895566497745,0.0,3.1011496912250793,,"Top alerts are review candidates, not confirmed fraud cases."
2025-06-23,SOL,99.39932097153303,0,0,,,,0.0957898646082222,0.0480111796075914,1.5957972914912066,2.6787949383314844,-0.1808015526728202,0.0,0.8968738583855973,-2.080475231275716,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-22,BNB,99.39061547836685,0,0,,,,-0.0674264002278537,0.0483053336856553,1.2958314347860262,2.1515016192352436,-0.3635446835312038,0.0,2.468945022682591,-2.5404033817312177,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,ETH,99.38190998520066,1,1,E002,exchange_failure,high,-0.1918441498664274,0.0956775408557966,1.9995941719953072,3.262136155194511,-0.3312417333594032,0.0,2.927581869113105,,"Top alerts are review candidates, not confirmed fraud cases."
2021-09-07,BNB,99.37320449203447,0,0,,,,-0.1721191468201457,0.0730166081391504,2.7275217106548024,4.729146571709952,-0.1726271370534848,0.0,3.3328027558903752,-0.4314874872596658,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-23,SOL,99.36449899886829,0,0,,,,-0.2377682407181387,0.2481279679662495,1.2639864049412926,2.2078904534050605,-0.5584274192805582,0.0,0.9427509257986382,-2.435303940607505,"Top alerts are review candidates, not confirmed fraud cases."
2025-03-02,SOL,99.3557935057021,0,0,,,,0.2170046723112975,0.119871520113502,1.848784965686308,2.7664778643671255,-0.1742038218134253,0.0,0.7928919471176294,-1.493711194165949,"Top alerts are review candidates, not confirmed fraud cases."
2021-11-10,USDC,99.3470880125359,0,0,,,,-0.0005521096125196,0.000453771685753,2.8126607760232325,4.395603731012461,-0.00167401584966,0.0004770159721375,2.2479524257953605,1.7436285654882258,"Top alerts are review candidates, not confirmed fraud cases."
2022-12-16,BNB,99.33838251936972,0,0,,,,-0.1105964964242671,0.0380466712500826,1.0490892589653142,3.716068161983152,-0.257414875195238,0.0,0.8313627644040478,-1.7104414238579762,"Top alerts are review candidates, not confirmed fraud cases."
2024-10-25,USDT,99.32967702620353,0,0,,,,-0.0013455929571064,0.0005459873001249,1.2638824742866706,3.2106363896929104,-0.0020794584826961,0.0018370151519776,1.482409454682312,-0.084965660231014,"Top alerts are review candidates, not confirmed fraud cases."
2024-10-25,USDT,99.32097153303735,0,0,,,,-0.0013455929571064,0.0005459873001249,1.2638824742866706,3.2106363896929104,-0.0020794584826961,0.0018370151519776,1.482409454682312,-0.0849656602300358,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,SOL,99.31226603987116,0,0,,,,-0.0611626798393851,0.0262551983339988,3.6121834126775703,4.152716345531793,-0.2975982557618438,0.0,4.169908207502609,-0.8861489846048562,"Top alerts are review candidates, not confirmed fraud cases."
2022-09-13,SOL,99.30356054670497,0,0,,,,-0.112838968047916,0.0601443368484522,1.6538886408939355,3.2566199878365474,-0.2371438183947677,0.0,1.5061479255639254,-0.7591247733769022,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-20,BTC,99.29485505353878,0,0,,,,0.0972750161239606,0.0757639698341535,1.3421641209982007,1.5710794658518157,-0.3064605689725369,0.0,2.1231192343151655,-1.9701571368704311,"Top alerts are review candidates, not confirmed fraud cases."
2025-02-24,SOL,99.28614956037259,0,0,,,,-0.1684378198337048,0.068304134458698,1.047218281237208,3.4782726271133,-0.4105469482922729,0.0,0.6086503356748026,-1.2859397738628802,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-05,SOL,99.27744406720642,0,0,,,,-0.0833017814317944,0.0424519859600685,2.163376489447274,3.957675642501418,-0.0809902182609517,0.0,1.594708945631983,4.051030899640642,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,USDT,99.26873857404021,0,0,,,,0.0006850207957076,0.0005589042879864,3.9198260415812154,3.466931563284617,-0.0004276222535096,0.0003650188446044,4.169908207502609,-3.189914350918452,"Top alerts are review candidates, not confirmed fraud cases."
2024-08-05,USDT,99.26003308087404,0,0,,,,0.0006850207957076,0.0005589042879864,3.9198260415812154,3.466931563284617,-0.0004276222535096,0.0003650188446044,4.169908207502609,-3.1899143509038654,"Top alerts are review candidates, not confirmed fraud cases."
2022-09-13,BTC,99.25132758770783,0,0,,,,-0.0972821989234233,0.0582548209586826,2.079340539159636,3.0022472913465834,-0.1591030358152891,0.0,1.5061479255639254,1.1492125834726885,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-20,BNB,99.24262209454166,0,0,,,,0.1492923163578687,0.1744954209884398,1.2188821433932882,1.8386779764809955,-0.4174603591845938,0.0,2.1231192343151655,-2.0759993131191297,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-21,BNB,99.23391660137547,0,0,,,,-0.1875616465900602,0.1736358206521432,0.8997074441387823,2.1904240883007255,-0.5170874460995476,0.0,1.2918752090504853,-2.384730383821613,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-07,BNB,99.22521110820928,0,0,,,,-0.0553569076158364,0.0349081803491914,2.771490401937934,1.1486318649707228,-0.2166723059200843,0.0,1.144348124785968,-2.8869130160706797,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-08,ETH,99.21650561504309,1,1,E002,exchange_failure,high,-0.1628692796958821,0.0711854225789273,2.398800711907958,4.456184356828838,-0.1898116031448573,0.0,3.146989869478346,,"Top alerts are review candidates, not confirmed fraud cases."
