check_family,score_family,label,method,n_rows,label_positive_count,label_positive_rate,average_precision,roc_auc,claim_boundary,top_share,top_n,precision_at_k,recall_at_k,lift_at_k,captured_weak_labels,total_weak_labels
main_weak_label,ablation,weak_label_3d,score_drop_multimethod_consensus_lf,11487,140,0.01218769043266301,0.12718833772853202,0.7147735713656221,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
main_weak_label,ablation,weak_label_3d,score_drop_multimethod_consensus_lf,11487,140,0.01218769043266301,0.12718833772853202,0.7147735713656221,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.09930313588850175,0.40714285714285714,8.147822299651567,57,140
main_weak_label,ablation,weak_label_3d,score_drop_multimethod_consensus_lf,11487,140,0.01218769043266301,0.12718833772853202,0.7147735713656221,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.05918189730200174,0.4857142857142857,4.855874673629243,68,140
main_weak_label,ablation,weak_label_3d,score_drop_multimethod_consensus_lf,11487,140,0.01218769043266301,0.12718833772853202,0.7147735713656221,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
main_weak_label,ablation,weak_label_3d,score_drop_range_drawdown_lf,11487,140,0.01218769043266301,0.13121361317571795,0.7163265306122448,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
main_weak_label,ablation,weak_label_3d,score_drop_range_drawdown_lf,11487,140,0.01218769043266301,0.13121361317571795,0.7163265306122448,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.10627177700348432,0.4357142857142857,8.719599303135888,61,140
main_weak_label,ablation,weak_label_3d,score_drop_range_drawdown_lf,11487,140,0.01218769043266301,0.13121361317571795,0.7163265306122448,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
main_weak_label,ablation,weak_label_3d,score_drop_range_drawdown_lf,11487,140,0.01218769043266301,0.13121361317571795,0.7163265306122448,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
main_weak_label,ablation,weak_label_3d,score_drop_return_volume_lf,11487,140,0.01218769043266301,0.11846398691759007,0.7098260710823502,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.23478260869565218,0.19285714285714287,19.26391304347826,27,140
main_weak_label,ablation,weak_label_3d,score_drop_return_volume_lf,11487,140,0.01218769043266301,0.11846398691759007,0.7098260710823502,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.09930313588850175,0.40714285714285714,8.147822299651567,57,140
main_weak_label,ablation,weak_label_3d,score_drop_return_volume_lf,11487,140,0.01218769043266301,0.11846398691759007,0.7098260710823502,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
main_weak_label,ablation,weak_label_3d,score_drop_return_volume_lf,11487,140,0.01218769043266301,0.11846398691759007,0.7098260710823502,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03134523291249456,0.5142857142857142,2.5718763604701786,72,140
main_weak_label,ablation,weak_label_3d,score_drop_stablecoin_lf,11487,140,0.01218769043266301,0.11604636153596934,0.7153533344244545,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.24347826086956523,0.2,19.977391304347826,28,140
main_weak_label,ablation,weak_label_3d,score_drop_stablecoin_lf,11487,140,0.01218769043266301,0.11604636153596934,0.7153533344244545,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.10278745644599303,0.42142857142857143,8.433710801393728,59,140
main_weak_label,ablation,weak_label_3d,score_drop_stablecoin_lf,11487,140,0.01218769043266301,0.11604636153596934,0.7153533344244545,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
main_weak_label,ablation,weak_label_3d,score_drop_stablecoin_lf,11487,140,0.01218769043266301,0.11604636153596934,0.7153533344244545,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.03221593382673052,0.5285714285714286,2.643317370483239,74,140
main_weak_label,ablation,weak_label_3d,score_drop_transparent_lf,11487,140,0.01218769043266301,0.1268800266595674,0.7115288496644802,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.2608695652173913,0.21428571428571427,21.404347826086955,30,140
main_weak_label,ablation,weak_label_3d,score_drop_transparent_lf,11487,140,0.01218769043266301,0.1268800266595674,0.7115288496644802,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.09407665505226481,0.38571428571428573,7.718989547038328,54,140
main_weak_label,ablation,weak_label_3d,score_drop_transparent_lf,11487,140,0.01218769043266301,0.1268800266595674,0.7115288496644802,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.060922541340295906,0.5,4.998694516971279,70,140
main_weak_label,ablation,weak_label_3d,score_drop_transparent_lf,11487,140,0.01218769043266301,0.1268800266595674,0.7115288496644802,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.032651284283848496,0.5357142857142857,2.6790378754897692,75,140
main_weak_label,ablation,weak_label_3d,score_market_only_lfs,11487,140,0.01218769043266301,0.10370558537183308,0.7141163806670109,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.01,115,0.22608695652173913,0.18571428571428572,18.550434782608693,26,140
main_weak_label,ablation,weak_label_3d,score_market_only_lfs,11487,140,0.01218769043266301,0.10370558537183308,0.7141163806670109,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.05,574,0.10452961672473868,0.42857142857142855,8.576655052264808,60,140
main_weak_label,ablation,weak_label_3d,score_market_only_lfs,11487,140,0.01218769043266301,0.10370558537183308,0.7141163806670109,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.1,1149,0.05918189730200174,0.4857142857142857,4.855874673629243,68,140
main_weak_label,ablation,weak_label_3d,score_market_only_lfs,11487,140,0.01218769043266301,0.10370558537183308,0.7141163806670109,"Ablation, placebo, and sensitivity checks evaluate robustness against weak labels, not verified fraud ground truth.",0.2,2297,0.030474531998258596,0.5,2.500435350457118,70,140
